index,names,authorId,message,aliases,citationCount,papers
161,Shingo Takahashi,2110723862,,,,
162,Silke Adam,,,,,
163,Simone Centellegher,,,,,
164,Stan Oklobdzija,,,,,
165,Stefan Wojcik,,,,,
166,Stephane Verguet,,,,,
167,Stephen M,,,,,
168,Sune Lehmann Jørgensen,,,,,
169,Swapnil Gavade,,,,,
170,Tobias Buchmann,,,,,
171,Tomasz P,,,,,
172,Tomo Ogawa,,,,,
173,Tomosato Nishi,,,,,
174,Ulrich Matter,,,,,
175,Vadake Narayanan,,,,,
176,Valerie Hase,,,,,
177,Victor Suarez-Lledo,,,,,
178,Vincent Antonio Traag,2653499,,,,
179,Vincenz Frey,2100981919,,,,
180,William Cai,2113721197,,,,
181,Xiancheng Li,3663418,,,,
182,Xiaowen Dong,9342947,,,,
183,Yan Leng,143611031,,,,
184,Yasuhiro Kitakami,31304979,,,,
185,Yasuko Kawahata,52521174,,,,
186,Yelena Mejova,3329961,,,,
187,Yian Yin,2173159409,,,,
188,Yifang Ma,47009759,,,,
189,Yimeng Yang,2108777102,,,,
190,Yong-Yeol Ahn,,,,,
191,Yoosoon An,104772683,,,,
192,Yuki Ogawa,46806544,,,,
193,Yuval Benjamini,,,,,
194,Zachary Neal,,,,,
195,Zeph M. C. van Berlo,,,,,
196,Zhen Zhu,,,,,
197,Zhongkai Sun,,,,,
198,Zohar Neu,,,,,
